:START_ID(Transaction),:END_ID(Company),:TYPE
20425,KIRK,FOR_COMPANY
20426,ABFS,FOR_COMPANY
20427,BEAV,FOR_COMPANY
20428,GPC,FOR_COMPANY
20429,GPC,FOR_COMPANY
20430,GPC,FOR_COMPANY
20431,GPC,FOR_COMPANY
20432,BEAV,FOR_COMPANY
20433,BNCN,FOR_COMPANY
20434,MTBC,FOR_COMPANY
20435,MPLX,FOR_COMPANY
20436,AFSI,FOR_COMPANY
20437,CLMT,FOR_COMPANY
20438,NAN,FOR_COMPANY
20439,NAN,FOR_COMPANY
20440,NAN,FOR_COMPANY
20441,OTL,FOR_COMPANY
20442,OTL,FOR_COMPANY
20443,OTL,FOR_COMPANY
20444,AMRS,FOR_COMPANY
20445,ROK,FOR_COMPANY
20446,ROK,FOR_COMPANY
20447,CANN,FOR_COMPANY
20448,FB,FOR_COMPANY
20449,FB,FOR_COMPANY
20450,FB,FOR_COMPANY
20451,FB,FOR_COMPANY
20452,FB,FOR_COMPANY
20453,CANN,FOR_COMPANY
20454,BPHX,FOR_COMPANY
20455,BPOP,FOR_COMPANY
20456,DGI,FOR_COMPANY
20457,DGI,FOR_COMPANY
20458,CRM,FOR_COMPANY
20459,CRM,FOR_COMPANY
20460,CRM,FOR_COMPANY
20461,ARDX,FOR_COMPANY
20462,ASF,FOR_COMPANY
20463,ASF,FOR_COMPANY
20464,ASF,FOR_COMPANY
20465,ASF,FOR_COMPANY
20466,ASF,FOR_COMPANY
20467,ASF,FOR_COMPANY
20468,ASF,FOR_COMPANY
20469,ASF,FOR_COMPANY
20470,CCI,FOR_COMPANY
20471,RMAX,FOR_COMPANY
20472,WATT,FOR_COMPANY
20473,CRM,FOR_COMPANY
20474,VGR,FOR_COMPANY
20475,CRM,FOR_COMPANY
20476,SHAK,FOR_COMPANY
20477,TNET,FOR_COMPANY
20478,TNET,FOR_COMPANY
20479,TNET,FOR_COMPANY
20480,TNET,FOR_COMPANY
20481,TNET,FOR_COMPANY
20482,TNET,FOR_COMPANY
