transactionId:ID(Transaction),transactionType,transactionDate:date,acceptanceDateTime:datetime,reportingOwnerRelationship,transactionShare:double,pricePerShare:double,totalValue:double,sharesOwnedFollowingTransaction:double,:LABEL
21,Buy,2017-01-04,2017-01-06T19:09:49, other,5120.0,62.47,319846.0,10240.0,Transaction
22,Sell,2017-01-04,2017-01-06T19:07:39, director,1849.0,11.87,21947.6,31560.0,Transaction
23,Buy,2017-01-04,2017-01-06T18:59:51, officer,600.0,71.09,42654.0,17065.0,Transaction
24,Sell,2017-01-04,2017-01-06T18:59:51, officer,200.0,133.925,26785.0,16865.0,Transaction
25,Buy,2017-01-06,2017-01-06T18:57:56, other,8917.0,5.28,47081.8,2142640.0,Transaction
26,Sell,2017-01-06,2017-01-06T18:54:16, officer,1348.0,108.131,145760.0,0.0,Transaction
27,Sell,2017-01-04,2017-01-06T18:43:56,,5700.0,1.5,8550.0,4302200.0,Transaction
28,Sell,2017-01-05,2017-01-06T18:42:10, officer,200.0,89.1425,17828.5,121698.0,Transaction
29,Sell,2017-01-05,2017-01-06T18:42:10, officer,400.0,88.9575,35583.0,123698.0,Transaction
30,Sell,2017-01-05,2017-01-06T18:42:10, officer,3200.0,87.7464,280788.0,124098.0,Transaction
31,Sell,2017-01-04,2017-01-06T18:39:18, officer,5649.0,100.0,564900.0,7756.0,Transaction
32,Buy,2017-01-06,2017-01-06T18:36:23, officer,6607.0,14.6,96462.2,70551.0,Transaction
33,Sell,2017-01-06,2017-01-06T18:36:23, officer,6607.0,60.0741,396910.0,63944.0,Transaction
34,Sell,2017-01-04,2017-01-06T18:36:23, officer,2543.0,60.0108,152607.0,63944.0,Transaction
35,Sell,2017-01-05,2017-01-06T18:34:32, officer,3177.0,14.81,47051.4,6823.0,Transaction
36,Buy,2017-01-06,2017-01-06T18:31:04, director,2000.0,15.3023,30604.6,21576.0,Transaction
37,Buy,2017-01-05,2017-01-06T18:28:12, officer,400.0,18.105,7242.0,53040.0,Transaction
38,Sell,2017-01-06,2017-01-06T18:28:12, officer,2100.0,60.1173,126246.0,52640.0,Transaction
39,Sell,2017-01-05,2017-01-06T18:28:12, officer,400.0,60.0775,24031.0,52640.0,Transaction
40,Sell,2017-01-01,2017-01-06T18:20:52, officer,1996.0,15.7,31337.2,155602.0,Transaction
41,Sell,2017-01-04,2017-01-06T18:18:05, officer,5900.0,45.33,267447.0,333937.0,Transaction
42,Sell,2017-01-05,2017-01-06T18:15:11, director officer,32000.0,12.7,406400.0,113500.0,Transaction
43,Sell,2017-01-05,2017-01-06T18:14:55, 10% owner,15000.0,13.0442,195663.0,0.0,Transaction
44,Sell,2017-01-04,2017-01-06T18:12:48, officer,724.0,53.19,38509.6,75329.0,Transaction
45,Sell,2017-01-05,2017-01-06T18:12:02, director officer 10% owner,1124.0,15.5,17422.0,1139440.0,Transaction
46,Sell,2017-01-04,2017-01-06T18:12:02, director officer 10% owner,2476.0,15.5,38378.0,1140560.0,Transaction
47,Sell,2017-01-04,2017-01-06T18:09:39, officer,3339.0,53.19,177601.0,261552.0,Transaction
48,Sell,2017-01-05,2017-01-06T18:08:58, officer,469.0,74.29,34842.0,370392.0,Transaction
49,Sell,2017-01-05,2017-01-06T18:08:28, officer,231.0,74.29,17161.0,36476.0,Transaction
50,Sell,2017-01-05,2017-01-06T18:08:12, director officer,18488.0,74.29,1373470.0,659324.0,Transaction
51,Sell,2017-01-05,2017-01-06T18:07:57, officer,463.0,74.29,34396.3,91991.0,Transaction
52,Sell,2017-01-03,2017-01-06T18:04:22, officer,1000.0,122.12,122120.0,47859.0,Transaction
53,Sell,2017-01-05,2017-01-06T18:01:36, officer,78.0,11.82,921.96,2687.0,Transaction
54,Sell,2017-01-04,2017-01-06T17:54:42, director,5000.0,24.68,123400.0,15000.0,Transaction
55,Sell,2016-12-31,2017-01-06T17:53:51,,2935610.0,0.1,293561.0,58618300.0,Transaction
56,Sell,2017-01-04,2017-01-06T17:53:27, director,20000.0,38.0126,760252.0,1240320.0,Transaction
57,Sell,2017-01-05,2017-01-06T17:52:37, officer,1502.0,116.045,174300.0,161616.0,Transaction
58,Sell,2017-01-05,2017-01-06T17:51:55, officer,785.0,116.045,91095.3,45346.0,Transaction
59,Buy,2017-01-04,2017-01-06T17:51:50,,81169.0,0.616,50000.1,172409.0,Transaction
60,Buy,2017-01-05,2017-01-06T17:51:18, director,245.0,28.1744,6902.73,3125.0,Transaction
61,Buy,2017-01-05,2017-01-06T17:51:18, officer,2814.0,116.045,326551.0,128792.0,Transaction
62,Sell,2017-01-05,2017-01-06T17:51:03, officer,992.0,116.045,115117.0,32360.0,Transaction
63,Sell,2017-01-06,2017-01-06T17:51:03, officer,1300.0,114.878,149341.0,31060.0,Transaction
64,Sell,2017-01-05,2017-01-06T17:50:47, officer,130.0,116.045,15085.8,27900.0,Transaction
65,Sell,2017-01-05,2017-01-06T17:50:31, officer,348.0,116.045,40383.7,136168.0,Transaction
66,Sell,2017-01-05,2017-01-06T17:50:05, officer,632.0,116.045,73340.4,25903.0,Transaction
67,Sell,2017-01-06,2017-01-06T17:47:08, officer,71151.0,4.42,314487.0,0.0,Transaction
68,Sell,2017-01-06,2017-01-06T17:46:53, officer,69177.0,11.25,778241.0,0.0,Transaction
69,Sell,2017-01-06,2017-01-06T17:46:53, officer,88144.0,4.42,389596.0,0.0,Transaction
70,Sell,2017-01-06,2017-01-06T17:46:35, director,450000.0,7.75,3487500.0,0.0,Transaction
71,Sell,2017-01-06,2017-01-06T17:46:35, director,131360.0,11.25,1477800.0,0.0,Transaction
72,Sell,2017-01-06,2017-01-06T17:46:20, officer,40882.0,11.25,459922.0,0.0,Transaction
73,Sell,2017-01-06,2017-01-06T17:46:03, officer,39447.0,11.25,443779.0,0.0,Transaction
74,Sell,2017-01-06,2017-01-06T17:46:03, officer,52035.0,4.42,229995.0,0.0,Transaction
75,Sell,2017-01-06,2017-01-06T17:45:46, director,28623.0,11.25,322009.0,0.0,Transaction
76,Sell,2017-01-06,2017-01-06T17:45:32, director,20631.0,11.25,232099.0,0.0,Transaction
77,Sell,2017-01-06,2017-01-06T17:45:14, officer,1229060.0,11.25,13826900.0,0.0,Transaction
78,Sell,2017-01-06,2017-01-06T17:44:45, director officer,18789.0,11.25,211376.0,0.0,Transaction
79,Sell,2017-01-04,2017-01-06T17:43:55, director,4000.0,60.0,240000.0,11156.0,Transaction
80,Sell,2016-12-31,2017-01-06T17:42:54,,2935610.0,0.1,293561.0,58618300.0,Transaction
81,Sell,2017-01-05,2017-01-06T17:42:34, director,40000.0,55.13,2205200.0,81842.0,Transaction
82,Buy,2017-01-04,2017-01-06T17:29:17,,1350.0,6.8875,9298.12,1350.0,Transaction
83,Sell,2017-01-04,2017-01-06T17:28:57, officer,383.0,58.15,22271.4,6991.0,Transaction
84,Sell,2017-01-04,2017-01-06T17:28:42, officer,20617.0,4.85,99992.5,0.0,Transaction
85,Sell,2017-01-05,2017-01-06T17:28:22, 10% owner,1049.0,9.5113,9977.35,1707250.0,Transaction
86,Sell,2017-01-04,2017-01-06T17:28:22, 10% owner,1554.0,9.5012,14764.9,557096.0,Transaction
87,Sell,2017-01-04,2017-01-06T17:27:37, officer,758.0,58.15,44077.7,31895.0,Transaction
88,Sell,2017-01-04,2017-01-06T17:26:54, director officer,8279.0,58.15,481424.0,85774.0,Transaction
89,Buy,2017-01-02,2017-01-06T17:26:48, officer,6109600.0,0.006,36657.6,6309600.0,Transaction
90,Sell,2017-01-04,2017-01-06T17:25:37, officer,333.0,58.15,19363.9,24357.0,Transaction
91,Sell,2017-01-04,2017-01-06T17:25:28, director,187.0,85.46,15981.0,26599.0,Transaction
92,Buy,2017-01-04,2017-01-06T17:25:28, director,187.0,10.5125,1965.84,26786.0,Transaction
93,Buy,2016-12-31,2017-01-06T17:25:13, officer,2716.0,1.24,3367.84,13375.0,Transaction
94,Sell,2017-01-05,2017-01-06T17:24:40, officer,500000.0,3.2,1600000.0,693060.0,Transaction
95,Sell,2017-01-04,2017-01-06T16:58:52, officer,127.0,12.3,1562.1,140260.0,Transaction
96,Sell,2017-01-05,2017-01-06T16:58:44,,8010.0,11.0127,88211.7,21748.0,Transaction
97,Sell,2017-01-06,2017-01-06T16:56:52, director officer 10% owner,801.0,2.05,1642.05,3001140.0,Transaction
98,Sell,2017-01-04,2017-01-06T16:56:06, officer,202.0,12.3,2484.6,415.0,Transaction
99,Sell,2016-12-17,2017-01-06T16:54:28, director officer 10% owner,9700000.0,970.0,9409000000.0,300000.0,Transaction
100,Sell,2016-12-17,2017-01-06T16:52:39, 10% owner,9700000.0,970.0,9409000000.0,300000.0,Transaction
