:START_ID(Transaction),:END_ID(Company),:TYPE
411,FTI,FOR_COMPANY
412,FTI,FOR_COMPANY
413,FTI,FOR_COMPANY
414,FTI,FOR_COMPANY
415,FTI,FOR_COMPANY
416,FTI,FOR_COMPANY
417,FTI,FOR_COMPANY
418,FTI,FOR_COMPANY
419,FTI,FOR_COMPANY
420,ZLTQ,FOR_COMPANY
421,ZLTQ,FOR_COMPANY
422,KOS,FOR_COMPANY
423,MBFI,FOR_COMPANY
424,MBFI,FOR_COMPANY
425,ASGN,FOR_COMPANY
426,ATH,FOR_COMPANY
427,ATH,FOR_COMPANY
428,ATH,FOR_COMPANY
429,ATH,FOR_COMPANY
430,AOS,FOR_COMPANY
431,WEC,FOR_COMPANY
432,WEC,FOR_COMPANY
433,WEC,FOR_COMPANY
434,WEC,FOR_COMPANY
435,WEC,FOR_COMPANY
436,WEC,FOR_COMPANY
437,WEC,FOR_COMPANY
438,NYNY,FOR_COMPANY
439,TWTR,FOR_COMPANY
440,CNDT,FOR_COMPANY
441,EXEL,FOR_COMPANY
442,EXEL,FOR_COMPANY
443,RESN,FOR_COMPANY
444,SIGA,FOR_COMPANY
445,AHS,FOR_COMPANY
446,AHS,FOR_COMPANY
447,TSLA,FOR_COMPANY
448,TSLA,FOR_COMPANY
449,CRM,FOR_COMPANY
450,FFBC,FOR_COMPANY
451,GLV,FOR_COMPANY
452,AVK,FOR_COMPANY
453,AGC,FOR_COMPANY
454,VRTU,FOR_COMPANY
455,GFON.OB,FOR_COMPANY
456,RESN,FOR_COMPANY
457,XRX,FOR_COMPANY
458,XRX,FOR_COMPANY
459,XRX,FOR_COMPANY
460,SWM,FOR_COMPANY
461,XRX,FOR_COMPANY
462,NTGR,FOR_COMPANY
463,UNF,FOR_COMPANY
464,UNF,FOR_COMPANY
465,COG,FOR_COMPANY
466,RESN,FOR_COMPANY
467,COG,FOR_COMPANY
468,COG,FOR_COMPANY
469,COG,FOR_COMPANY
470,VLY,FOR_COMPANY
471,PFS,FOR_COMPANY
472,PFS,FOR_COMPANY
473,WGO,FOR_COMPANY
474,GLYE,FOR_COMPANY
475,PSTG,FOR_COMPANY
476,PSTG,FOR_COMPANY
477,GLYE,FOR_COMPANY
478,GLYE,FOR_COMPANY
479,SCG,FOR_COMPANY
480,GLYE,FOR_COMPANY
481,YUMC,FOR_COMPANY
482,YUMC,FOR_COMPANY
483,YUMC,FOR_COMPANY
484,FLR,FOR_COMPANY
485,FLR,FOR_COMPANY
486,YUMC,FOR_COMPANY
487,YUMC,FOR_COMPANY
488,FLR,FOR_COMPANY
489,YUMC,FOR_COMPANY
490,YUMC,FOR_COMPANY
491,YUMC,FOR_COMPANY
492,FLR,FOR_COMPANY
493,YUMC,FOR_COMPANY
494,YUMC,FOR_COMPANY
495,YUMC,FOR_COMPANY
496,CDIS,FOR_COMPANY
497,YUMC,FOR_COMPANY
498,ARL,FOR_COMPANY
499,CDIS,FOR_COMPANY
500,SLB,FOR_COMPANY
501,INSW,FOR_COMPANY
502,CASH,FOR_COMPANY
503,APOG,FOR_COMPANY
504,APOG,FOR_COMPANY
505,GB,FOR_COMPANY
506,GB,FOR_COMPANY
507,RGCO,FOR_COMPANY
508,ALJJ,FOR_COMPANY
509,CZNC.OB,FOR_COMPANY
510,CZNC.OB,FOR_COMPANY
511,CZNC.OB,FOR_COMPANY
512,CZNC.OB,FOR_COMPANY
513,CZNC.OB,FOR_COMPANY
514,CZNC.OB,FOR_COMPANY
515,CZNC.OB,FOR_COMPANY
516,CZNC.OB,FOR_COMPANY
517,FMNB.OB,FOR_COMPANY
518,CZNC.OB,FOR_COMPANY
519,CZNC.OB,FOR_COMPANY
520,SGA,FOR_COMPANY
521,FMNB.OB,FOR_COMPANY
522,FMNB.OB,FOR_COMPANY
523,SGA,FOR_COMPANY
524,FMNB.OB,FOR_COMPANY
525,CAC,FOR_COMPANY
526,FMNB.OB,FOR_COMPANY
527,CAC,FOR_COMPANY
528,HDRA,FOR_COMPANY
529,CAC,FOR_COMPANY
530,CTSC,FOR_COMPANY
531,BPHX,FOR_COMPANY
532,CAG,FOR_COMPANY
533,CAG,FOR_COMPANY
534,BLDR,FOR_COMPANY
535,PLAB,FOR_COMPANY
536,BOKF,FOR_COMPANY
537,BLKB,FOR_COMPANY
538,BLKB,FOR_COMPANY
539,PLAB,FOR_COMPANY
540,BLKB,FOR_COMPANY
541,BLKB,FOR_COMPANY
542,BOKF,FOR_COMPANY
543,FOXF,FOR_COMPANY
544,CNDT,FOR_COMPANY
545,BOKF,FOR_COMPANY
546,KOS,FOR_COMPANY
547,KOS,FOR_COMPANY
548,KOS,FOR_COMPANY
549,KOS,FOR_COMPANY
550,KOS,FOR_COMPANY
551,CNDT,FOR_COMPANY
552,MMI,FOR_COMPANY
553,KOS,FOR_COMPANY
554,BOKF,FOR_COMPANY
555,PNR,FOR_COMPANY
556,PNR,FOR_COMPANY
557,KOS,FOR_COMPANY
558,PNR,FOR_COMPANY
559,FTI,FOR_COMPANY
560,PNR,FOR_COMPANY
561,FTI,FOR_COMPANY
562,FTI,FOR_COMPANY
563,FTI,FOR_COMPANY
564,FTI,FOR_COMPANY
565,FTI,FOR_COMPANY
566,FTI,FOR_COMPANY
567,FTI,FOR_COMPANY
568,FTI,FOR_COMPANY
569,ZLTQ,FOR_COMPANY
570,ZLTQ,FOR_COMPANY
571,ZLTQ,FOR_COMPANY
572,KOS,FOR_COMPANY
